Time,PosX,PosY,PosZ,VelX,VelY,VelZ
4.2,5.92480133572823,6.66758213872552,6.46755404747355,0.982201519323862,5.07906980123756,-3.08539889312939
4.25,5.97391141169442,6.9215356287874,6.31328410281708,0.976308310207919,5.04859538243013,-3.55444349977061
4.3,6.02272682720482,7.17396539790891,6.13556192782855,0.970450460346672,5.01830381013555,-4.02067383877199
4.35,6.07124935022215,7.42488058841569,5.93452823588995,0.964627757584592,4.98819398727474,-4.48410679573935
4.4,6.11948073810138,7.67429028777942,5.71032289610298,0.958839991039084,4.95826482335109,-4.94475915496492
4.45,6.16742273765334,7.92220352894698,5.46308493835473,0.95308695109285,4.92851523441099,-5.40264760003513
4.5,6.21507708520798,8.16862929066753,5.19295255835298,0.947368429386293,4.89894414300452,-5.85778871443492
4.55,6.26244550667729,8.41357649781775,4.90006312263123,0.941684218809975,4.86955047814649,-6.31019898214831
4.6,6.30952971761779,8.65705402172508,4.58455317352382,0.936034113497115,4.84033317527761,-6.75989478825542
4.65,6.35633142329265,8.89907068048896,4.24655843411104,0.930417908816132,4.81129117622595,-7.20689241952589
4.7,6.40285231873346,9.13963523930026,3.88621381313475,0.924835401363235,4.78242342916859,-7.65120806500873
4.75,6.44909408880162,9.37875641075869,3.50365340988431,0.919286388955056,4.75372888859358,-8.09285781661868
4.8,6.49505840824937,9.61644285518837,3.09901051905338,0.913770670621326,4.72520651526202,-8.53185766971897
4.85,6.54074694178044,9.85270318095147,2.67241763556743,0.908288046597598,4.69685527617045,-8.96822352370065
4.9,6.58616134411032,9.91245405524001,2.2240064593824,0.902838318318012,-4.66867414451342,-9.40197118255845
4.95,6.63130326002622,9.67902034801434,1.75390790025448,0.897421288408104,-4.64066209964634,-9.8331163554631
5,6.67617432444662,9.44698724303202,1.26225208248132,0.892036760677655,-4.61281812704846,-10.2616746573303
5.05,6.72077616248051,9.2163463366796,0.749168349614805,0.88668454011359,-4.58514121828617,-10.6876616093863
5.1,6.76511038948618,8.98708927576529,0.214785269145488,0.881364432872908,-4.55763037097646,-11.11109263973
5.15,6.80917861112983,8.75920775721647,0.340769362841013,0.876076246275671,-4.5302845887506,11.5319830838916
5.2,6.85298242344361,8.53269352777894,0.917368517035595,0.870819788798017,-4.5031028812181,10.9752341853883
5.25,6.89652341288351,8.30753838371803,1.46613022630501,0.865594870065229,-4.47608426393079,10.421825780276
5.3,6.93980315638678,8.08373417052149,1.98722151531881,0.860401300844837,-4.4492277583472,9.87173782559431
5.35,6.98282322142902,7.86127278260413,2.48080840659852,0.855238893039768,-4.42253239179712,9.32495039864074
5.4,7.02558516608101,7.64014616301428,2.94705592653056,0.850107459681529,-4.39599719744634,8.78144369624889
5.45,7.06809053906508,7.42034630314196,3.386128111343,0.84500681492344,-4.36962121426166,8.2411980340714
5.5,7.11034087981125,7.20186524242888,3.79818801304658,0.8399367740339,-4.34340348697609,7.70419384586697
5.55,7.15233771851295,6.98469506808007,4.18339770533992,0.834897153389696,-4.31734306605423,7.17041168279177
5.6,7.19408257618243,6.76882791477736,4.54191828947951,0.829887770469358,-4.29143900765791,6.63983221269502
5.65,7.2355769647059,6.55425596439447,4.87390990011426,0.824908443846542,-4.26569037361196,6.11243621941885
5.7,7.27682238689823,6.34097144571387,5.17953171108521,0.819958993183463,-4.24009623137029,5.58820460210234
5.75,7.3178203365574,6.12896663414535,5.45894194119032,0.815039239224362,-4.21465565398207,5.06711837448972
5.8,7.35857229851862,5.91823385144625,5.71229785991481,0.810149003789016,-4.18936772005817,4.54915866424279
5.85,7.39907974870807,5.70876546544334,5.93975579312695,0.805288109766282,-4.16423151373782,4.03430671225733
